orden,prioridad,empresa,telefono_principal,telefono_secundario,pedir_por,email_contacto,horario_mejor,idioma,direccion_hq,url_propuesta,nota_critica
1,A,Improven,900 194 000,,Socio de Personas / Talento,talento@improven.com,L-V 9-18,castellano,"C/ Roger de Lauria 19, 3ºA · 46002 Valencia",https://playingcamp.github.io/propuestas-pc/improven/,900 gratuito. Post-adquisición Inmerco fresca = momento perfecto.
2,A,Familia Martínez,+34 962 51 27 67,,RRHH / Mercedes Martínez / Dpto. Personas,no público,L-V 9-14,castellano,"C/ Ribera 1, pta 10 · 46002 Valencia (sede social) — planta Pol. Mas del Jutge, Torrent",https://playingcamp.github.io/propuestas-pc/familia-martinez/,Proveedor Mercadona. Muy ocupados — sé breve. Raúl Martín Calvo CEO 3ª gen desde ene-2025.
3,A,Postres Reina,+34 968 72 53 00,,RRHH / Personas,contacto@postresreina.com,L-V 9-14,castellano,"Pol. Ind. Cavila, C/ Enrique López Bustamante 3 · 30400 Caravaca de la Cruz, Murcia",https://playingcamp.github.io/propuestas-pc/postres-reina/,Familia López Rueda. Planta Rioja nueva.
4,A,Iberpapel · Zicuñaga,+34 943 55 11 00,+34 91 564 07 20,RRHH planta Hernani / Miguel Ángel Tapiador (CEO Madrid),atencion.al.cliente@iberpapel.es,L-V 8-16,euskera o castellano,"Planta: Zikuñaga Bailara s/n · 20120 Hernani · Sede corp: Av. Sancho El Sabio 2 · 20010 Donostia",https://playingcamp.github.io/propuestas-pc/iberpapel/,Cotizada BME. Sucesión reciente. Llamar primero a Hernani (RRHH planta) y subir si procede.
5,A,Industrias Maxi,+34 983 29 50 27,,RRHH / Dirección General,protecciondedatos@industrias-maxi.es (solo LOPD),L-V 9-14,castellano,"C/ del Nitrógeno 39, Pol. Ind. San Cristóbal · 47012 Valladolid",https://playingcamp.github.io/propuestas-pc/industrias-maxi/,Familiar. Crecimiento x2 plantilla. Mejor hablar 9-14.
6,A,Eversia,+34 968 61 23 83,,RRHH / People,no público,L-V 9-14,castellano,"Pol. Ind. El Saladar II, C/ Madrid s/n · 30564 Lorquí, Murcia",https://playingcamp.github.io/propuestas-pc/eversia/,Rebrand + planta nueva. Familia Romero.
7,A,Lácteas Cobreros,+34 980 66 40 50,+34 980 66 41 42,Dirección / RRHH,info@lacteascobreros.com,L-V 9-13,castellano,"C/ Leticia Rosino Andrés 6A · 49660 Castrogonzalo, Zamora",https://playingcamp.github.io/propuestas-pc/lacteas-cobreros/,Empresa pequeña. Capital asiático fórmulas infantiles. OJO dirección corregida.
8,B,Good Rebels,+34 914 47 50 87,,People / Talento (y subir a Fernando Polo si abre),no público,L-V 10-13,castellano,"Glorieta Quevedo 6, 2º dcha · 28015 Madrid",https://playingcamp.github.io/propuestas-pc/good-rebels/,Agencia. Post-M&A Asesores. Mañanas mejor.
9,B,Tatum,+34 91 860 30 70,,Dpto. Personas / Talento / Eugenio de Andrés,marketing@tatum.es,L-V 9-18,castellano,"C/ Henri Dunant 17 · 28036 Madrid",https://playingcamp.github.io/propuestas-pc/tatum/,Consultora RRHH — hablan tu idioma. Pivote SaaS.
10,B,Estudio de Comunicación,+34 915 76 52 50,,Comunicación Interna / Benito Berceruelo,espana@estudiodecomunicacion.com,L-V 9-13,castellano,"Paseo de la Castellana 257, 4º · 28046 Madrid",https://playingcamp.github.io/propuestas-pc/estudio-comunicacion/,Consultora reputación. Generación fundacional con peso.
11,B,Summa Branding,+34 932 08 10 90,,Talento / Conrad Llorens,barcelona@summa.es · talento@summa.es,L-V 10:30-18,catalán o castellano,"C/ Badajoz 127, naves 3 y 4 · 08018 Barcelona",https://playingcamp.github.io/propuestas-pc/summa/,Agencia creativa. Llamar a partir 10:30.
12,B,Overlap,+34 91 721 02 21,,Dirección Formación / People / Antonio Núñez,dptoadmon@overlap.net,L-V 9-18,castellano,"Av. Partenón 10, 2ª planta · 28042 Madrid",https://playingcamp.github.io/propuestas-pc/overlap/,Web 403 — teléfono vía Empresite/Axesor. Verificar antes de llamar.
13,B,Izo,+34 91 805 49 00,,Employee Experience / Marketing / Marta Borrallo,hola@izo.es · info@izo.es,L-V 9-18,castellano,"Av. de la Industria 4, Ed. 3, 1ºB · 28108 Alcobendas, Madrid",https://playingcamp.github.io/propuestas-pc/izo/,CX/EX consultancy. Teléfono vía Páginas Amarillas (web no muestra).
14,B,Anthesis España,+34 938 51 50 55,,People / Wellbeing,no público,L-V 9-13,catalán o castellano,"Rambla Catalunya 6, ppal 2a · 08007 Barcelona (HQ) — sede técnica Manlleu",https://playingcamp.github.io/propuestas-pc/anthesis/,Ola CSRD. Equipos quemados.
15,C,Cobee,no público,900 800 777 (atc Pluxee — no Cobee directo),preferible email + LinkedIn,info@cobee.io,L-J 9-18 · V 9-15 (vía Pluxee),castellano,"Pº Gral. Martínez Campos 41, 7º izq · 28010 Madrid",https://playingcamp.github.io/propuestas-pc/cobee/,⚠️ COBEE ADQUIRIDA POR PLUXEE/SODEXO JUN-2024. Propuesta original obsoleta. Recomendado: NO LLAMAR hasta reescribir propuesta o sustituir empresa.
